丰台区应急管理局执法检查公示目录（第三季度6月24日-9月30日）,,,,,,
序号,被检查单位名称,检查日期,执法检查单编号,检查方式是否双随机,检查结论,检查部门
215,北京舒润达物业管理有限公司,44788,(京丰)应急现记〔2022〕执01160号,是,合格,区应急管理局
216,北京诚丰建材制品有限公司,44788,(京丰)应急现记〔2022〕执01205号,否,合格,区应急管理局
217,北京碧青源水厂,44788,(京丰)应急现记〔2022〕执01151号,否,合格,区应急管理局
218,北京正华天泰物业管理有限责任公司宋家庄分公司,44788,(京丰)应急现记〔2022〕执01163号,否,合格,区应急管理局
219,北京鑫福海木栖园石化产品销售有限公司,44788,(京丰)应急现记〔2022〕执01152号,是,合格,区应急管理局
220,北京北青阳光石油化工有限公司右安门分公司,44788,(京丰)应急现记〔2022〕执01158号,否,合格,区应急管理局
221,北京卡普瑞意酒店管理有限公司,44788,(京丰)应急现记〔2022〕执01153号,否,合格,区应急管理局
222,北京市丰台区鸿基培训中心,44788,(京丰)应急现记〔2022〕执01150号,否,合格,区应急管理局
223,北京丰管路加油站,44788,(京丰)应急现记〔2022〕执01155号,否,合格,区应急管理局
224,北京天和科茂机械制造厂（附件厂内）,44788,(京丰)应急现记〔2022〕执01156号,否,合格,区应急管理局
225,北京市绿化隔离地区基础设施开发建设有限公司,44788,(京丰)应急现记〔2022〕执01157号,否,合格,区应急管理局
226,北京市应用职业技能培训学校,44789,(京丰)应急现记〔2022〕执01166号,是,合格,区应急管理局
227,北京市翠满楼餐饮有限公司第一分店,44789,(京丰)应急现记〔2022〕执01167号,是,合格,区应急管理局
228,北京市液化石油气公司,44789,(京丰)应急现记〔2022〕执01170号,否,合格,区应急管理局
229,北京盛致艺品体育文化有限公司分公司,44789,(京丰)应急现记〔2022〕执01172号,否,合格,区应急管理局
230,北京鑫垚金地加油站有限公司,44789,(京丰)应急现记〔2022〕执01171号,是,合格,区应急管理局
231,北京市丰台看丹加油站,44789,(京丰)应急现记〔2022〕执01161号,否,不合格（复查以后合格）,区应急管理局
232,北京市应用职业技能培训学校,44789,(京丰)应急现记〔2022〕执01164号,否,合格,区应急管理局
233,北京花乡众生加油站有限公司,44789,(京丰)应急现记〔2022〕执01168号,否,合格,区应急管理局
234,北京汇京柯曼汽车贸易发展有限公司,44789,(京丰)应急现记〔2022〕执01165号,否,合格,区应急管理局
235,北京佰乐亭餐饮管理有限公司,44789,(京丰)应急现记〔2022〕执01162号,是,合格,区应急管理局
236,北京市丰台区恒力职业技能培训学校,44789,(京丰)应急现记〔2022〕执01169号,否,合格,区应急管理局
237,北京鼎春德物业管理有限公司,44789,(京丰)应急现记〔2022〕执03269号,否,不合格（复查以后合格）,区应急管理局
238,北京市高强混凝土有限责任公司丰台西道口分站,44789,(京丰)应急现记〔2022〕执01174号,否,合格,区应急管理局
239,美途君澜酒店管理（北京）有限公司,44789,(京丰)应急现记〔2022〕执01299号,否,不合格（复查以后合格）,区应急管理局
240,航天增材科技（北京）有限公司,44790,(京丰)应急现记〔2022〕执01188号,否,合格,区应急管理局
