标称生产者信息,被抽样单位信息,产品信息,检验结果,主键,更新时间
北京壹号酒庄有限公司,北京壹号酒庄有限公司,"白酒,其他酒",完全合格,110117-2023-1-000029,26/10/2023 10:00:00
北京兴乐食品有限公司,北京兴乐食品有限公司,果蔬汁类及其饮料,完全合格,110117-2023-1-000275,26/10/2023 10:00:00
蒙牛乳业（北京）有限责任公司,蒙牛乳业（北京）有限责任公司,"蛋白饮料,液体乳",完全合格,110112-2023-1-002318,13/11/2023 22:01:08
欢乐海（北京）水业科技有限公司,欢乐海（北京）水业科技有限公司,瓶(桶)装饮用水,完全合格,110112-2023-1-002591,20/11/2023 22:00:35
北京欧菲堡酒庄有限公司,北京欧菲堡酒庄有限公司,葡萄酒及果酒,完全合格,110113-2022-1-000017,26/10/2023 10:00:00
北京航空食品有限公司,北京航空食品有限公司,"冷加工糕点,热加工糕点",完全合格,110113-2022-1-000029,26/10/2023 10:00:00
北京光明健能乳业有限公司,北京光明健能乳业有限公司,"蛋白饮料,果蔬汁类及其饮料,液体乳",完全合格,110113-2022-1-000040,26/10/2023 10:00:00
北京牛栏山金林保健酒业有限公司,北京牛栏山金林保健酒业有限公司,白酒,完全合格,110113-2022-1-000222,26/10/2023 10:00:00
北京永康格林科技有限公司,北京永康格林科技有限公司,"调味料,固体饮料,其他特殊膳食食品",完全合格,110113-2022-1-000426,26/10/2023 10:00:00
北京进军世间美食有限责任公司,北京进军世间美食有限责任公司,"调味料,其他食品,速冻调制食品,速冻面米食品,畜禽水产罐头,预制调理肉制品",完全合格,110113-2022-1-000432,26/10/2023 10:00:00
北京艾莱发喜食品有限公司,北京艾莱发喜食品有限公司,"冷冻饮品,冷加工糕点,其他乳制品,其他食品,热加工糕点,液体乳",完全合格,110113-2022-1-000659,26/10/2023 10:00:00
北京福莱氏食品有限公司,北京福莱氏食品有限公司,果蔬汁类及其饮料,完全合格,110113-2022-1-000862,26/10/2023 10:00:00
北京新华空港航空食品有限公司,北京新华空港航空食品有限公司,"冷加工糕点,热加工糕点",完全合格,110113-2022-1-000905,26/10/2023 10:00:00
北京顺鑫农业股份有限公司创新食品分公司,北京顺鑫农业股份有限公司创新食品分公司,"调味料,其他罐头,其他食品,热加工熟肉制品,速冻调制食品,速冻面米食品,预制调理肉制品",完全合格,110113-2022-1-000908,26/10/2023 10:00:00
北京万方酿造厂,北京万方酿造厂,"调味料,酱油,食醋",完全合格,110113-2022-1-001080,26/10/2023 10:00:00
